Yearclass,Spawners (kt),Recruits (millions age 1)
1963,131.187,727.964
1964,140.12,985.009
1965,163.823,1193.302
1966,183.167,1012.126
1967,206.032,500.385
1968,210.716,435.718
1969,209.07,1479.665
1970,213.55,1956.201
1971,219.837,479.664
1972,201.53,698.722
1973,166.75,689.808
1974,177.838,1197.898
1975,168.209,820.106
1976,145.059,2002.052
1977,121.682,1177.574
1978,116.822,1478.518
1979,117.511,2370.072
1980,117.719,931.094
1981,127.896,1459.702
1982,129.629,831.936
1983,108.283,1526.121
1984,96.066,376.392
1985,91.854,1825.626
1986,80.288,701.797
1987,82.608,471.493
1988,77.578,846.975
1989,74.208,340.447
1990,65.876,398.707
1991,65.972,957.698
1992,67.467,436.538
1993,69.739,1078.364
1994,72.155,687.763
1995,77.792,469.77
1996,92.444,1542.688
1997,94.21,144.395
1998,98.224,312.967
1999,79.094,452.949
2000,55.878,183.39
2001,43.323,265.362
2002,46.869,120.876
2003,34.964,241.79
2004,33.092,192.08
2005,31.978,423.208
2006,34.362,190.907
2007,45.667,214.364
2008,65.201,240.06
2009,66.101,302.15
2010,69.172,143.866
2011,77.527,222.046
2012,81.688,251.482
2013,82.352,313.474
2014,80.119,147.284
2015,85.085,102.928
2016,85.86,313.264
2017,84.416,67.402
2018,73.006,145.193
2019,56.169,271.264
2020,39.39,185.468
